,TotalCoinsMined,TotalCoinSupply,CoinName,Class
FAIR,5.373171257426225e-05,0.0,FairCoin,0
NLG,0.00041922940371274717,0.00168,Gulden,2
RBY,2.7459351832994873e-05,0.0,RubyCoin,0
PTC,0.00013890826284479005,0.000166386,PesetaCoin,2
KORE,2.0428746910438998e-06,1.2e-05,Kore,0
WBB,1.8371648199843193e-07,2.628e-06,Wild Beast Coin,2
NOTE,0.00017641218487765833,0.0005,Dnotes,0
FLO,0.00015381046349316466,0.00015999999999999999,Flo,2
8BIT,1.4826421555945544e-06,0.0,8BIT Coin,0
STV,7.1685584936518354e-06,9.999999999999999e-06,Sativa Coin,0
ABY,0.0008005517611206417,0.001,ArtByte,2
FLDC,0.0007266920705903823,0.001,Folding Coin,2
U,2.716970369101339e-06,1.9999999999999998e-05,Ucoin,0
UIS,6.577171953463686e-05,0.0,Unitus,2
CYP,6.429611685370236e-06,0.0,CypherPunkCoin,2
OMC,1.0242543481404855e-05,3.3713369999999998e-06,OmniCron,2
VTR,1.1722032628249687e-05,1.9999999999999998e-05,Vtorrent,0
GRE,0.004656962788057776,0.01,GreenCoin,2
XCN,0.0007156712681788526,0.00184,Cryptonite,2
MSC,6.257000627009784e-07,6.19478e-07,MasterCoin,2
SOON,1.2588606144078657e-05,2.1e-05,SoonCoin,2
1CR,8.906263157644134e-08,0.092,1Credit,2
ISL,1.5289689463744187e-06,0.0,IslaCoin,0
NXS,6.430091286755607e-05,7.8e-05,Nexus,0
MARS,3.254737390940308e-05,3.3e-05,MarsCoin ,2
CTO,1.388166937063467e-05,6.57891e-05,Crypto,2
ACP,1.4896289018926092e-05,5.376e-05,Anarchists Prime,2
DRZ,8.65464044533528e-06,5.06e-06,Droidz,0
BSC,1.6024218544473603e-05,2.1e-05,BowsCoin,2
SQL,3.3248663543496074e-07,0.0,Squall Coin,0
SONG,3.289457501821606e-05,0.00021024,Song Coin,2
ZNY,7.637911117242616e-05,0.00025,BitZeny,2
DIGS,0.00010101121017516,9.999999999999999e-05,Diggits,0
EXP,1.0601369346955924e-05,1.6906397e-05,Expanse,2
CON,2.3275580507341256e-05,4.9999999999999996e-05,Paycon,0
SC,0.03343300387173752,0.0,Siacoin,2
EMC,4.3495195674547396e-05,0.001,Emercoin,0
EGC,1.3667342096946377e-05,2.6297999999999998e-05,EverGreenCoin,0
MND,1.602811505354264e-05,1.6e-05,MindCoin,2
I0C,2.120977197104188e-05,2.1e-05,I0coin,2
DCR,1.0469821310022305e-05,2.1e-05,Decred,0
RVR,0.00021212358803498338,0.00021,Revolution VR,2
HODL,1.1564684369737338e-05,8.196209999999999e-05,HOdlcoin,2
EDRC,3.7067592744553853e-06,2.2e-05,EDRCoin,0
HTC,0.011107518609238073,0.02655,Hitcoin,0
GAME,7.054227695219703e-05,8.4e-05,Gamecredits,2
DBIC,5.180838862741675e-06,1.05e-05,DubaiCoin,0
DIEM,0.0219598179179117,0.02162628,CarpeDiemCoin,2
PWR,0.010171276554625372,0.0,PWR Coin,0
BLRY,9.089700841491067e-06,4.2e-05,BillaryCoin,0
GPU,4.088632471488365e-05,0.000221052632,GPU Coin,0
ADZ,4.556646089956654e-05,8.4e-05,Adzcoin,2
SOIL,5.759667683964639e-06,3e-05,SoilCoin,2
YOC,6.428563793372448e-07,0.0001683513,YoCoin,2
SIB,1.743788870157756e-05,2.4e-05,SibCoin,2
ERC,1.051247114981269e-05,0.000384,EuropeCoin,0
ZEIT,0.037345108590098736,0.099,ZeitCoin,0
SWING,4.421302536434042e-06,3.9999999999999996e-05,SwingCoin,0
SAFEX,0.002169200088786735,0.002147483647,SafeExchangeCoin,0
NEBU,2.0202208095288435e-05,1.9999999999999998e-05,Nebuchadnezzar,0
FRN,6.637212695356324e-06,1.9999999999999998e-05,Francs,2
BOLI,1.3792117338373683e-05,2.4999999999999998e-05,BolivarCoin,2
XRA,0.0001359155890671144,7.5e-05,Ratecoin,0
REV,1.2075723529647756e-06,0.000222725,Revenu,0
CKC,1.6831280775777115e-05,0.000525,Clockcoin,0
VIP,8.429425494523455e-05,8.999999999999999e-05,VIP Tokens,0
BSD,2.4634303574462228e-05,0.000139,BitSend,0
OMNI,6.226394217472033e-07,6.16448e-07,Omni,2
LIR,3.8980006684536215e-05,3.35e-05,Let it Ride,0
PUT,0.0008213147135639345,0.002,PutinCoin,0
IBANK,4.572054144447702e-06,4.4333333e-05,iBankCoin,0
FRWC,0.00010101121017516,9.999999999999999e-05,Frankywillcoin,0
MUDRA,5.0505202053125176e-06,0.00019999999999999998,MudraCoin,0
PIZZA,1.3918087968066747e-06,2.4999999999999998e-05,PizzaCoin,2
LC,0.0006636438871562658,0.000657,Lutetium Coin,0
KMD,0.00011707011143822338,0.00019999999999999998,Komodo,2
GB,1.5721220645668756e-05,4.9999999999999996e-05,GoldBlocks,0
CTC,4.360196981630424e-05,8.999999999999999e-05,CarterCoin,0
KRB,7.901494854014166e-06,9.999999999999999e-06,Karbo,2
BXT,6.014078665632431e-07,2.1e-05,BitTokens,0
ZYD,6.306938569650361e-06,9.736e-06,ZayedCoin,2
MST,6.642442854597716e-07,3e-06,MustangCoin,0
ZNE,2.60803781407262e-06,2.1e-05,ZoneCoin,0
COVAL,0.001010112483573715,0.0012,Circuits of Value,2
ROOT,1.9594637532670447e-06,0.0,RootCoin,0
DOPE,0.00011802678598125889,0.00019999999999999998,DopeCoin,2
BTCR,0.00017131364398891228,0.0,BitCurrency,0
DLC,9.198763457405489e-06,1.0638297999999999e-05,DollarCoin,2
SCN,0.0006719268674458666,0.0031,Swiscoin,0
SH,1.1231600774401894e-05,3e-05,Shilling,2
BUZZ,0.019775768099222997,0.02,BuzzCoin,0
XPO,7.478243316626309e-05,7.4e-05,Opair,0
PSB,3.3861916349526105e-05,0.0,PesoBit,0
