,TotalCoinsMined,TotalCoinSupply,CoinName,Class
KETAN,9.421410033173454e-06,0.00021,Ketan,0
PPAI,0.002121236262171949,0.0021,Project Pai,2
XDNA,4.719722337372877e-06,0.000366,XDNA,0
PAXEX,4.5501498543214275e-06,9.999999999999999e-05,PAXEX,0
AZART,5.066562179265316e-06,2.4999999999999998e-05,Azart,2
TSC,0.0010706728512052076,0.018,ThunderStake,0
KCASH,0.001010112483573715,0.001,Kcash,0
XCG,9.852346277489665e-06,9.999999999999999e-05,Xchange,2
AAC,0.001010112483573715,0.001,Acute Angle Cloud,3
CRYP,0.00427793913676562,0.0076,CrypticCoin,2
BTXC,6.856000566804066e-06,4.9999999999999996e-05,Bettex coin,0
ACM,1.3772690350429755e-05,8.4e-05,Actinium,2
BSV,1.8174421994387353e-05,2.1e-05,Bitcoin SV,2
BITM,0.000210624444042156,0.06999999999999999,BitMoney,0
JMC,0.01738395948703501,0.0,Junson Ming Chan Coin,0
FRED,0.001885935471805804,0.00808,FREDEnergy,2
HERB,3.566923871543799e-05,5.4e-05,HerbCoin,0
UMO,1.5941992995464667e-06,0.00010512000144,Universal Molecule,2
LIT,1.6006929204207734e-05,2.5228799999999998e-05,Lithium,2
PIRATE,1.3612153166672831e-05,0.000105,PirateCash,0
EXO,4.1015611546984553e-07,2.1e-05,Exosis,2
BLTG,3.5641492369034067e-05,0.00012,Block-Logic,2
OWC,1.4926945321837101e-05,2.1e-05,Oduwa,0
BEAM,3.604836854913877e-05,0.0002628,Beam,2
GALI,1.8449674225033587e-05,1.9035999e-05,Galilel,0
BTH,2.540508306779439e-05,3.0886e-05,Bithereum,2
CSPN,1.9542239715577493e-06,1.3369999999999999e-05,Crypto Sports,0
CREDIT,0.03113743575139919,0.0748,Credit,0
SLC,1.3056460389715756e-05,9.999999999999999e-05,SLICE,2
DASHP,7.228541424170134e-07,1.97e-05,Dash Platinum,0
NSD,2.0754263081976124e-05,8.4e-05,Nasdacoin,0
BEET,0.00020094986909566676,0.0005,Beetle Coin,0
TTN,0.0009054256011906719,0.005,Titan Coin,0
AWR,1.557612963693045e-05,0.00042,Award,0
BLAST,5.2822616985570724e-05,6.4e-05,BLAST,2
XRC,1.1820846886525212e-06,2.1e-06,Bitcoin Rhodium,2
GLT,8.546870974887076e-05,0.000168,GlobalToken,2
INSN,2.401635291295234e-05,3e-05,Insane Coin,0
ALX,0.001010112483573715,0.001,ALAX,0
LDOGE,0.015473799682463152,0.034999999999999996,LiteDoge,0
SLR,5.612693724123281e-05,0.09809999999999999,SolarCoin,2
TRK,0.00024502709974477395,0.0,TruckCoin,0
UFO,0.0038633621961948403,0.004,UFO Coin,2
OC,3.5728770966557666e-06,0.00019999999999999998,OrangeCoin,0
BLC,2.359294387236469e-05,0.007,BlakeCoin,2
BITS,2.0784570290127343e-05,5.4256118999999996e-05,BitstarCoin,0
NEOS,4.436632647507646e-06,2.1e-05,NeosCoin,0
HYPER,9.72855332874592e-06,0.0,HyperCoin,0
PINK,0.0004407662194377845,0.0005,PinkCoin,0
CESC,0.0007881005585632962,0.001,Crypto Escudo,2
ADC,0.0009906501697518394,0.0105,AudioCoin,0
NKA,0.01812114093883431,0.00018999999999999998,IncaKoin,0
PIGGY,0.0004992386451885693,0.001,Piggy Coin,0
CRW,2.3219342578744854e-05,4.2e-05,Crown Coin,2
GEN,6.060670913522422e-05,1.5e-05,Genstake,0
SMLY,0.029883158141660888,0.049999999999999996,SmileyCoin,2
MI,0.00040840509399131834,0.00039999999999999996,XiaoMiCoin,0
GRS,7.403939145513336e-05,0.000105,Groestlcoin,2
CPC,0.00020340058699908338,0.000208,CapriCoin,0
CLUB,0.00010466971265911428,0.00015999999999999999, ClubCoin,0
RADS,3.859845763729668e-06,9e-06,Radium,0
BTA,5.1036075982334715e-06,4.9999999999999996e-06,Bata,2
PAK,7.038909888132847e-05,0.000182,Pakcoin,2
CRB,1.707188620667946e-05,1.6504333e-05,Creditbit ,0
OK,7.54311861724345e-05,0.000105,OKCash,0
LSK,0.00012122572346119352,0.0001599184,Lisk,0
XHI,0.010101372369569069,0.010008835635,HiCoin,0
XWC,0.000254553934587528,0.0003,WhiteCoin,0
FSC,1.131672502832021e-06,6.0168145e-05,FriendshipCoin,0
J,3.366584340752429e-06,2.8e-06,JoinCoin,2
TRI,1.4215894737644412e-07,1.2e-07,Triangles Coin,0
VOLLAR,0.00010101121017516,0.0021,Vollar,2
EOS,0.0010308647636696072,0.0,EOS,0
RCC,2.4735536642457163e-05,2.4487944e-05,Reality Clash,2
OXY,0.001133732360966037,0.0,Oxycoin,0
TCH,0.001010112483573715,0.001,TigerCash,0
WAVES,0.00010101121017516,9.999999999999999e-05,Waves,3
PART,9.376971101068528e-06,8.63414e-06,Particl,0
BTT,1.0,0.99,BitTorrent,1
NXT,0.001010112483573715,0.001,Nxt,0
ZEPH,0.002020225004830237,0.002,ZEPHYR,0
GAP,1.5081994322403278e-05,0.00025,Gapcoin,0
BDX,0.0009901350790514718,0.00140022261,Beldex,2
ZEN,7.370281500487556e-06,2.1e-05,Horizen,2
XBC,1.2958228174697553e-07,1e-06,BitcoinPlus,0
