,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,Class,CoinName
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.154905788272538,-1.8563628046125074,0.35642868511383735,2,ZClassic
ARK,DPoS,DPoS,108202084.0,125000000.0,3.7278021277561306,1.8768165038910927,-0.5855523365032179,0,ARK
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.3921393025870746,1.1353328051889464,-0.37307989840461747,0,InsaneCoin
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.0954962231641793,-1.162899317284707,0.014981348874006262,2,KiloCoin
ATX,X11,PoW,824000000.0,500000000.0,-0.21403545128906368,-0.9176646694106657,0.12223448881137129,2,ArtexCoin
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.8631144340741167,1.728953927440109,-0.5923774773481877,0,EmberCoin
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.39250161905151826,1.135338327342865,-0.37306851893432746,0,XenixCoin
FRE,PoS,PoS,50000000.0,50000000.0,-0.3607103451608726,1.7435369405816303,-0.1634418070045124,0,FreeCoin
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.3332172175469575,0.8947267425572232,-0.4793727870921556,0,PLNCoin
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.33337153832813726,0.8947186307742964,-0.47936537439621074,0,AquariusCoin
KURT,X11,PoW,61364813.0,228000000.0,-0.2252796150862206,-0.9178799999109442,0.12268246537313958,2,Kurrent
XCRE,PoS,PoS,20000000.0,20000000.0,-0.36128944891684184,1.7435373141278774,-0.16342154606717665,0,Creatio
ENT,X11,PoW/PoS,6069482.07721352,60000000.0,-0.39207661187779896,1.1353135868678546,-0.37307738909200433,0,Eternity
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3063259736628909,0.7572630978484225,-0.35972717502070617,0,Eurocoin
BCF,Scrypt,PoW/PoS,20244023.640728,33000000.0,-0.333217947209255,0.8947306873737717,-0.4793737287661512,0,BitcoinFast
XSN,X11,TPoS,75590369.0,76500000.0,-0.39691392705082645,0.7265773410977248,0.13513702375338724,0,Stakenet
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000.0,-0.3333653235906847,0.8947288936983604,-0.4793681094085876,0,BitConnect Coin
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.32895430941792764,0.8944434946924359,-0.4794531506266367,0,MoneyCoin
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.39253061247316423,1.1353364473122838,-0.37306703895703613,0,Enigma
XCI,CryptoNight,PoW,978145.0,21000000.0,0.3017393182934608,-2.229049135197422,0.3738973966906849,2,Cannabis Industry Coin
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.33257620212637723,0.8946745334877111,-0.47938251319534364,0,Russiacoin
PND,Scrypt,PoS,33813143821.8337,32514916898.0,0.3512610949665723,0.8238177332517328,-0.2938534063273759,0,PandaCoin
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.33356457125684225,0.8947323758230445,-0.4793619607321846,0,GameUnits
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.33363512752374747,0.8947367433982126,-0.47936055202377076,0,GAKHcoin
ASAFE2,Quark,PoS,10517772.7391666,15000000.0,-0.35197184473182397,1.6025959644843197,-0.24986832990179692,0,Allsafe
LTCR,QuBit,PoW/PoS,30227750.0,78835200.0,-0.3525004928451495,0.627802656916865,-0.3714961938004846,0,LiteCreed
OS76,Scrypt,PoW,894026.0,2714286.0,-0.16873815357165975,-1.1584053135357804,0.016453442771124496,2,OsmiumCoin
BIC,CryptoNight,PoW,9357088.0,25000000.0,0.30187002550619463,-2.2290472329408324,0.37389233654370513,2,Bikercoins
HXX,Lyra2RE,PoW,1876146.443596,9999999.0,-0.15202663104394257,-2.119762535549639,0.3370970914337846,2,HexxCoin
KED,Scrypt,PoW/PoS,23965372.0,500000000.0,-0.32986266639742834,0.8945183502902126,-0.47943958204414916,0,Klingon Empire Darsek
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000.0,-0.30643970877792037,0.7572582305970645,-0.3597219843027128,0,Internet of People
KUSH,X11,PoW/PoS,5659096.95728771,9354000.0,-0.3924405741475985,1.1353366117223203,-0.37307024365910463,0,KushCoin
PRX,Scrypt,PoW/PoS,11821728.0,20000000.0,-0.33341297071323217,0.8947328899112036,-0.4793674147767981,0,Printerium
PAC,X11,PoW,536982074.0,100000000000.0,0.48765565534178335,-0.9633870544858005,0.10878533015860116,2,PacCoin
IMPCH,Scrypt,PoW/PoS,308179.0,21933333.0,-0.33353991845803316,0.8947268714332894,-0.47936147740742197,0,Impeach
CTL,CryptoNight-V7,PoW,10969318.522954,185000000.0,-0.1508970972152293,-2.1031328530546944,0.33802977246921556,2,Citadel
ZBC,Scrypt,PoS,2922613.96424908,55000000.0,-0.29182294732445535,0.8236199651908758,-0.27120379577385373,0,Zilbercoin
FRST,Scrypt,PoW/PoS ,110000000.0,110000000.0,-0.3162651146127302,0.2909233154833095,-0.27272093211517584,0,FirstCoin
BVC,Scrypt,PoW,3115258.0,3360000.0,-0.16870644245446254,-1.1584046192351882,0.01645215803641699,2,BeaverCoin
FIND,X13,PoS,14524851.4827,14524851.4827,-0.22741077178878674,1.617152241484967,-0.33444840925254576,0,FindCoin
VLTC,X11,PoW,30385540.0,1000000000.0,-0.22018657857461318,-0.918247567818822,0.1225936033905489,2,VaultCoin
ZER,Equihash,PoW,6921653.89980891,17000000.0,-0.15491815805375672,-1.8563603885385163,0.35642852739711073,2,Zero
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000.0,-0.3143956751869005,0.8947243331433172,-0.480033677235185,0,OpenChat
CDN,Scrypt,PoW,99843408.3158479,100000000.0,-0.16683987937339578,-1.1584057832561654,0.016386843322029176,2,Canada eCoin
ZOI,Lyra2RE,PoW,18545757.5,21000000.0,-0.1517450327512516,-2.11976014509512,0.33708660852481576,2,Zoin
RNS,Scrypt,PoS,36050365.0,34426423.0,-0.2915640705050687,0.8236441605568134,-0.2712188269736744,0,RenosCoin
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901.0,-0.1348723616439993,-2.2001098226940723,0.3685027364250137,2,DubaiCoin
XVP,X11,PoW/PoS,13162749.0858027,100000000.0,-0.39170646377171825,1.135298419510905,-0.3730866786811602,0,VirtacoinPlus
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000.0,-0.40123625747472685,1.7097774329921305,-0.6919811416007878,0,TajCoin
IMX,X11,PoW/PoS,110630387.850471,110000000.0,-0.3904449202982722,1.1353372866699718,-0.373140546191723,0,Impact
EB3,Scrypt,PoW,64096052.0,4000000000.0,-0.1396356703716827,-1.1602088374949826,0.01587288573622014,2,EB3coin
ATMOS,PoS,PoS,111135836.889,110290030.0,-0.35953620664916064,1.7435365669249985,-0.1634829803434557,0,Atmos
HPC,X11,PoW/PoS,21521322.0099142,100000000.0,-0.39160435504227736,1.135302145629035,-0.37309118097115107,0,HappyCoin
CXT,NIST5,PoW,10123200.0,48252000.0,-0.18941984743425352,-0.602629125078071,-0.016079082347300686,2,Coinonat
MCRN,PoS,PoS,401421401.0,400000000.0,-0.3539367707714846,1.7435332161799102,-0.16367895023500312,0,MacronCoin
RAIN,X11,PoW/PoS,121665451.643876,500000000.0,-0.38754602538462835,1.1351634940610182,-0.373199811422081,0,Condensate
IMS,Scrypt,PoW/PoS,5368934.0,21212121.0,-0.3334832075566015,0.8947294579219075,-0.47936410474464514,0,Independent Money System
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000.0,-0.3334824058014426,0.8947241910526845,-0.47936284142064917,0,ArgusCoin
LMC,Scrypt,PoW/PoS,500000.0,1000000000.0,-0.32660561532890287,0.8942787720284177,-0.47949530317459355,0,LomoCoin
PROC,SHA-256,PoS,100545745.0,75000000000.0,0.2676153220704127,0.6518509636136599,-0.1618623896741503,0,ProCurrency
XGR,X11,PoW/PoS,17171382.0,40000000.0,-0.3920827387409318,1.1353277006282565,-0.37308063463301727,0,GoldReserve
BENJI,Scrypt,PoW,20276099.146524,35520400.0,-0.16826887084010406,-1.1584117062451933,0.016438517454561118,2,BenjiRolls
GRW,Scrypt,PoS,295135466.361878,2000000000.0,-0.27446824788250923,0.8228589608652875,-0.2716271170183988,0,GrowthCoin
ILC,SHA-256,PoW,1317747500.0,2500000000.0,-0.10787238882149469,-1.2964326836332094,0.13504325662860148,2,ILCoin
PHR,PoS,PoS,11390225.9742772,30000000.0,-0.36132375222737706,1.7435288936728288,-0.1634182756813307,0,Phreak
DEA,Scrypt,PoW/PoS,21358764.0,105000000.0,-0.3326940359409653,0.8946981913477051,-0.4793841731397496,0,Degas Coin
HTML5,X15,PoW/PoS,40659020000.0,90000000000.0,0.8951282060877807,1.8515280755114434,-0.6209136646019664,0,HTML5 Coin
USC,SHA-256,PoS,10343113.0,200084200.0,-0.2636242962604883,0.6860867331660078,-0.15158706870665412,0,Ultimate Secure Cash
EQT,Scrypt,PoW,13673406.4325268,72000000.0,-0.16809098375712844,-1.1584313658695224,0.01643708641677084,2,EquiTrader
QTUM,POS 3.0,PoS,100000000.0,100000000.0,-0.3464417501273542,1.70284502459228,-0.22161075512067327,0,QTUM
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0,-0.15075474446111398,-2.1030703090053753,0.338009432922085,2,Quantum Resistant Ledger
ESP,536,PoW/PoS,22801882871.0,50000000000.0,0.5997073158591788,1.7938116069235142,-0.7505708901058147,0,Espers
DYN,Argon2d,PoW,19784224.6512734,0.0,-0.18306418835008348,-2.0393200481682747,0.41154431209399256,2,Dynamic
NANO,Blake2b,PoW,133248297.0,340282367.0,-0.03336389089769365,-2.077655486775189,0.39576622770070163,2,Nano
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0,-0.14831627779192724,-2.0581467433817515,0.4432665763208377,2,ChanCoin
DCY,CryptoNight,PoW,1809467143.0,2000000000.0,0.33785789211562384,-2.229149787875901,0.3726526948139485,2,Dinastycoin
DNR,NIST5,PoW/PoS,4171382.0,10000000.0,-0.35469448417508653,1.4505270031036879,-0.5118832546708217,0,Denarius
DP,X11,PoW,35138975.0,100000000.0,-0.2265071797133013,-0.9178330368198864,0.12271409206025602,2,DigitalPrice
VUC,NIST5,PoW/PoS,62942075.0,120000000.0,-0.3531969234183594,1.4505027962283699,-0.511929950447191,0,Virta Unique Coin
BTPL,Skein,PoW/PoS,6804362.0,100000000.0,-0.41357057987660795,1.9089164682243607,-0.7223895856413904,0,Bitcoin Planet
UNIFY,Scrypt,PoW,18133195.0,19276800.0,-0.16841017371939812,-1.158405218122635,0.016441892560110808,2,Unify
BRIT,X13,PoW/PoS,21268092.0,30000000.0,-0.26866939334146656,1.6882410756439938,-0.5426177680311387,0,BritCoin
SOCC,Scrypt,PoW,5167775.0,75000000.0,-0.16817362672929242,-1.1584365322506287,0.01644125775526745,2,SocialCoin
ARC,X11,PoW,26042364.3735553,60000000.0,-0.22690180076151106,-0.9178187625214814,0.12272446073719395,2,ArcticCoin
DAS,X11,PoW,2622886.0,18900000.0,-0.22747918680339888,-0.9178103690693479,0.12274269472537426,2,DAS
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000.0,0.13116469665360814,0.8758570928187995,-0.4910663646316082,0,Linda
XLC,CryptoNight,PoW,14161803.0,54000000.0,0.30213425503667934,-2.229058379906634,0.37388578360109515,2,LeviarCoin
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583,-0.26874014912972644,1.688246452169932,-0.5426165997177992,0,DeepOnion
BTX,Time Travel,PoW,17801865.1605478,21000000.0,-0.16394475337158018,-2.314871738949959,0.3498725408448434,2,Bitcore
GCN,Scrypt,PoW,163055097500.0,200000000000.0,3.24060268573571,-1.1773642232829984,-0.09871849289705266,2,gCn Coin
SMART,Keccak,PoW,2241009149.22257,5000000000.0,-0.1217438139883033,-1.0936144743587413,0.1020922254884383,2,SmartCash
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0,-0.34546342056729834,1.686941122684077,-0.249273620783286,0,Signatum
ONX,X11,PoW,122475638.389743,1100000000.0,-0.218352860460442,-0.918252339080614,0.12253032754892065,2,Onix
CRM,Skein,PoW/PoS,47331802.4774238,100000000.0,-0.41307549471168775,1.9089345347091662,-0.7224114154790046,0,Cream
BCH,SHA-256,PoW,17995589.6469082,21000000.0,-0.14131991106020164,-1.2958761263230976,0.13608229123753998,2,Bitcoin Cash
XMCC,X11,PoW/PoS,12569262.5359307,9507271.0,-0.39235507293758,1.1353396219293996,-0.3730739867294583,0,Monoeci
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.2918971032544994,0.8236442090928539,-0.27120713447728934,0,Draftcoin
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0,4.438593475485468,0.0984263687621688,17.530307469341142,3,Vechain
SOJ,Scrypt,PoW,485214.0,10500000000.0,-0.09434457605211279,-1.1632157252543665,0.015018461521945827,2,Sojourn Coin
STCN,PoS,PoS,4000000.0,61599965.0,-0.3611900696643237,1.7435111190009882,-0.1634186153700108,0,Stakecoin
NYC,Scrypt,PoW,143006669741.687,0.0,1.5782080533408605,-1.0946543820446584,-0.0605753008458849,2,NewYorkCoin
